               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.017553,           0.0052226,          0.00038794,              0.1784,             0.91756,             0.98991,             0.98318,             0.64033,            0.016724,            0.007274,          0.00031319,              0.1759,          0.00091606,          0.00091606,          0.00091606
                 107,            0.018427,           0.0055915,          0.00054458,             0.17537,             0.85954,             0.93363,              0.9384,             0.33396,            0.020826,           0.0095163,          0.00053519,             0.17798,          0.00091452,          0.00091452,          0.00091452
                 108,            0.018882,            0.005566,          0.00049029,             0.17663,             0.86215,             0.91275,             0.89824,             0.42867,            0.020101,            0.011471,           0.0049988,             0.17709,          0.00091296,          0.00091296,          0.00091296
                 109,            0.019202,           0.0060151,          0.00062818,             0.17423,             0.75659,             0.91486,             0.87421,              0.5356,            0.021913,            0.011861,           0.0043816,             0.17519,          0.00091138,          0.00091138,          0.00091138
                 110,            0.020261,           0.0061396,          0.00056207,             0.17235,              0.8282,             0.91459,             0.92701,             0.64459,            0.020165,            0.010836,           0.0040423,             0.17463,           0.0009098,           0.0009098,           0.0009098
                 111,             0.01991,           0.0059602,          0.00042307,             0.17074,             0.85515,             0.71606,             0.79023,              0.4777,            0.029863,            0.019415,           0.0092904,             0.18597,          0.00090821,          0.00090821,          0.00090821
                 112,            0.020303,           0.0058701,           0.0004283,             0.16976,             0.90002,             0.89306,             0.95974,             0.64362,            0.020209,            0.009593,          0.00065337,             0.17144,           0.0009066,           0.0009066,           0.0009066
                 113,            0.021569,           0.0066981,          0.00062134,             0.16876,             0.96006,             0.95821,             0.97456,             0.58234,            0.023035,           0.0086193,          0.00038156,              0.1671,          0.00090498,          0.00090498,          0.00090498
                 114,            0.020994,           0.0059188,          0.00055479,             0.16848,             0.95446,             0.90275,             0.97408,             0.65074,            0.020965,           0.0094212,          0.00052806,             0.16481,          0.00090334,          0.00090334,          0.00090334
                 115,            0.021103,           0.0059831,          0.00037214,              0.1702,             0.95997,             0.93485,             0.97102,             0.67317,            0.021523,           0.0094512,          0.00024765,             0.16742,           0.0009017,           0.0009017,           0.0009017
                 116,            0.021818,           0.0065332,           0.0005295,             0.16532,             0.87689,             0.78691,             0.88655,              0.6128,            0.023512,            0.012432,           0.0032515,             0.16664,          0.00090004,          0.00090004,          0.00090004
                 117,            0.021731,           0.0063268,          0.00064988,             0.16608,                   0,                   0,                   0,                   0,            0.076717,            0.045005,             0.13155,             0.23715,          0.00089838,          0.00089838,          0.00089838
                 118,            0.021341,             0.00625,          0.00066422,             0.16772,             0.42026,             0.19046,             0.18725,             0.11319,            0.049604,            0.036054,            0.099802,             0.23075,           0.0008967,           0.0008967,           0.0008967
                 119,            0.020627,           0.0058775,          0.00072674,             0.16479,              0.8552,             0.70163,             0.82116,             0.57219,             0.02732,            0.014079,            0.002413,             0.17967,          0.00089501,          0.00089501,          0.00089501
                 120,            0.021122,           0.0057774,           0.0005337,             0.16235,             0.94946,             0.87431,             0.95674,             0.66047,            0.020224,           0.0090605,          0.00035045,             0.15986,           0.0008933,           0.0008933,           0.0008933
                 121,            0.021371,           0.0058791,          0.00036965,             0.15976,             0.89008,             0.96544,             0.97452,             0.66255,            0.021817,           0.0087815,          0.00043418,             0.16003,          0.00089159,          0.00089159,          0.00089159
                 122,            0.020682,           0.0055324,          0.00043623,             0.15949,              0.9368,             0.93886,             0.97452,             0.66458,            0.023552,           0.0083817,          0.00074223,             0.15786,          0.00088986,          0.00088986,          0.00088986
                 123,            0.021204,           0.0053843,          0.00053815,              0.1612,             0.94672,             0.93287,             0.97624,             0.72241,            0.022837,           0.0083014,           0.0023396,              0.1592,          0.00088812,          0.00088812,          0.00088812
                 124,              0.0199,           0.0053217,          0.00060916,             0.15784,             0.95264,             0.92308,             0.96943,             0.64938,            0.020406,            0.009848,           0.0012085,             0.15645,          0.00088637,          0.00088637,          0.00088637
                 125,            0.019695,           0.0054052,           0.0005569,             0.15735,              0.8231,             0.88046,             0.89889,             0.61033,            0.025598,            0.011229,           0.0022357,             0.15889,          0.00088461,          0.00088461,          0.00088461
                 126,            0.021171,           0.0056365,          0.00056299,             0.15643,             0.92877,             0.93094,             0.96496,             0.64846,            0.020677,           0.0077855,          0.00034823,             0.15352,          0.00088284,          0.00088284,          0.00088284
                 127,             0.02078,           0.0053185,          0.00052022,              0.1551,             0.92993,             0.96115,             0.97766,             0.67285,            0.022293,           0.0081934,          0.00021708,             0.15111,          0.00088106,          0.00088106,          0.00088106
                 128,            0.021808,           0.0053938,          0.00031883,             0.15511,             0.99034,             0.92308,             0.98687,             0.73645,            0.021023,           0.0090514,          0.00023244,             0.15075,          0.00087927,          0.00087927,          0.00087927
                 129,            0.020779,           0.0051629,          0.00041508,              0.1529,              0.9878,             0.93163,             0.98833,             0.73888,            0.021828,           0.0076462,          0.00045514,             0.15101,          0.00087746,          0.00087746,          0.00087746
                 130,             0.02198,           0.0052421,          0.00039554,             0.15435,             0.95684,             0.96154,             0.97415,             0.70106,            0.023359,           0.0081557,          0.00057801,             0.14838,          0.00087565,          0.00087565,          0.00087565
                 131,             0.02181,           0.0055794,          0.00077699,             0.15468,             0.91389,             0.94762,             0.98046,             0.73657,            0.019887,           0.0082349,          0.00046841,             0.15049,          0.00087382,          0.00087382,          0.00087382
